123	eb8d
shopping_cart_checkout	eb88
smart_button	f1c1
source	f1c4
space_dashboard	e66b
spatial_audio	ebeb
spatial_audio_off	ebe8
spatial_tracking	ebea
speaker_notes	e8cd
speaker_notes_off	e92a
spellcheck	e8ce
star_rate	f0ec
stars	e8d0
sticky_note_2	f1fc
store	e8d1
subject	e8d2
subtitles_off	ef72
supervised_user_circle	e939
supervisor_account	e8d3
support	ef73
swap_horiz	e8d4
swap_horizontal_circle	e933
swap_vert	e8d5
swap_vertical_circle	e8d6
swipe	e9ec
swipe_down	eb53
swipe_down_alt	eb30
swipe_left	eb59
swipe_left_alt	eb33
swipe_right	eb52
swipe_right_alt	eb56
swipe_up	eb2e
swipe_up_alt	eb35
swipe_vertical	eb51
switch_access_shortcut	e7e1
switch_access_shortcut_add	e7e2
sync_alt	ea18
system_update_alt	e8d7
tab	e8d8
tab_unselected	e8d9
table_view	f1be
task_alt	e2e6
terminal	eb8e
text_rotate_up	e93a
text_rotate_vertical	e93b
text_rotation_angledown	e93c
text_rotation_angleup	e93d
text_rotation_down	e93e
text_rotation_none	e93f
theaters	e8da
thumb_down	e8db
thumb_down_off_alt	e9f2
thumb_up	e8dc
thumb_up_off_alt	e9f3
thumbs_up_down	e8dd
timeline	e922
tips_and_updates	e79a
toc	e8de
today	e8df
token	ea25
toll	e8e0
touch_app	e913
tour	ef75
track_changes	e8e1
transcribe	f8ec
translate	e8e2
trending_down	e8e3
trending_flat	e8e4
trending_up	e8e5
troubleshoot	e1d2
try	f07c
turned_in	e8e6
turned_in_not	e8e7
unfold_less_double	f8cf
unfold_more_double	f8d0
unpublished	f236
update	e923
update_disabled	e075
upgrade	f0fb
verified	ef76
verified_user	e8e8
vertical_split	e949
view_agenda	e8e9
view_array	e8ea
view_carousel	e8eb
view_column	e8ec
view_comfy_alt	eb73
view_compact_alt	eb74
view_cozy	eb75
view_day	e8ed
view_headline	e8ee
view_in_ar	e9fe
view_kanban	eb7f
view_list	e8ef
view_module	e8f0
view_quilt	e8f1
view_sidebar	f114
view_stream	e8f2
view_timeline	eb85
view_week	e8f3
visibility	e8f4
visibility_off	e8f5
voice_over_off	e94a
watch_later	e924
webhook	eb92
width_full	f8f5
width_normal	f8f6
width_wide	f8f7
wifi_protected_setup	f0fc
work	e8f9
work_history	ec09
work_off	e942
work_outline	e943
wysiwyg	f1c3
youtube_searched_for	e8fa
zoom_in	e8ff
zoom_out	e900
